AEtherspouts
Accursed Spirit
Accursed Spirit
Aegis Angel
Aerial Formation
Aerial Formation
Ajani's Presence
Ajani's Pridemate
Akroan Conscriptor
Akroan Crusader
Akroan Hoplite
Akroan Phalanx
Akroan Skyguard
Altac Bloodseeker
Ancient Silverback
Angelic Edict
Arbiter of the Ideal
Arbor Colossus
Archetype of Finality
Armament of Nyx
Aspect of Gorgon
Aspect of Hydra
Asphyxiate
Awe for the Guilds
Balustrade Spy
Banishing Light
Battering Krasis
Battering Krasis
Battle Mastery
Battlefield Forge
Bile Blight
Black Oak of Odunos
Bladetusk Boar
Blaze Commando
Blinding Flare
Blood Host
Bloodcrazed Hoplite
Blur Sliver
Bolt of Keranos
Borderland Marauder
Boros Cluestone
Boros Cluestone
Boulderfall
Brain Maggot
Bronze Sable
Bronze Sable
Bronzebeak Moa
Bronzebeak Moa
Brood Keeper
Burst of Strength
Cancel
Carnivorous Moss-Beast
Cartel Aristocrat
Catch // Release
Cavern Lampad
Celestial Archon
Centaur Courser
Charging Badger
Charging Rhino
Charging Rhino
Child of Night
Child of Night
Chosen by Heliod
Chosen by Heliod
Cloaked Siren
Cloaked Siren
Colossal Heroics
Congregate
Coral Barrier
Coral Barrier
Corpse Blockade
Courser of Kruphix
Covenant of Blood
Covenant of Blood
Covenant of Blood
Crippling Blight
Crippling Blight
Crippling Blight
Crowd's Favor
Crypt Incursion
Cyclops of One-Eyed Pass
Dawnstrike Paladin
Deputy of Acquittals
Desecration Plague
Devouring Light
Devouring Light
Devouring Light
Diffusion Sliver
Dimir Guildgate
Disciple of Deceit
Disciple of the Old Ways
Divination
Divination
Divination
Divine Favor
Divine Verdict
Divine Verdict
Dragon Mantle
Dragon Mantle
Drakewing Krasis
Dreadbringer Lampads
Eagle of the Watch
Elite Skirmisher
Elvish Mystic
Elvish Mystic
Elvish Mystic
Elvish Mystic
Elvish Mystic
Elvish Mystic
Ephara's Radiance
Epiphany Storm
Evanescent Intellect
Evolving Wilds
Evolving Wilds
Evolving Wilds
Evolving Wilds
Evolving Wilds
Executioner's Swing
Extinguish All Hope
Fall of the Hammer
Fall of the Hammer
Fall of the Hammer
Fate Foretold
Fated Intervention
Fearsome Temper
Feast on the Fallen
Feral Incarnation
Feral Incarnation
Feral Invocation
Festergloom
Flamespeaker's Will
Fleetfeather Cockatrice
Fleetfeather Sandals
Flesh to Dust
Font of Fertility
Font of Ire
Forest
Forest
Forest
Forest
Forest
Forest
Forest
Forest
Forest
Forest
Forest
Forest
Forest
Forest
Forest
Forest
Forest
Forest
Forest
Forest
Forest
Forest
Forest
Forest
Forest
Forest
Forest
Forest
Forest
Forest
Forest
Forest
Forest
Forest
Forest
Forest
Forest
Forest
Forest
Forest
Forest
Forest
Forest
Forest
Forest
Forest
Forest
Forest
Forest
Forest
Forest
Forge Devil
Forge Devil
Forsaken Drifters
Fortify
Foundry Street Denizen
Frenzied Goblin
Frost Breath
Frost Lynx
Frost Lynx
Furnace Whelp
Garruk's Packleader
Gather Courage
Generator Servant
Generator Servant
Genesis Hydra
Glacial Crasher
Gleam of Battle
Glimpse the Future
Glimpse the Future
Gods Willing
Grim Guardian
Grim Guardian
Grim Guardian
Gruul Cluestone
Guardians of Meletis
Guildscorn Ward
Haunter of Nightvale
Heliod's Pilgrim
Heliod's Pilgrim
Hidden Strings
Hornet Queen
Howl of the Night Pack
Humbler of Mortals
Hunt the Weak
Hydra Broodmaster
Ill-Tempered Cyclops
Ill-Tempered Cyclops
Ill-Tempered Cyclops
Illusory Angel
Indulgent Tormentor
Inferno Fist
Inferno Fist
Inferno Fist
Inspired Charge
Into the Void
Invasive Species
Invasive Species
Island
Island
Island
Island
Island
Island
Island
Island
Island
Island
Island
Island
Island
Island
Island
Island
Island
Island
Island
Island
Island
Island
Island
Ivy Lane Denizen
Izzet Cluestone
Jace's Ingenuity
Juggernaut
Kapsho Kitefins
Karametra's Acolyte
Karametra's Acolyte
Karametra's Acolyte
Kinsbaile Skirmisher
Kird Chieftain
Knight of Obligation
Knowledge and Power
Kragma Butcher
Krenko's Enforcer
Krenko's Enforcer
"Kurkesh, Onakke Ancient"
Lagonna-Band Elder
Lagonna-Band Trailblazer
Last Breath
Last Breath
Lava Axe
Leonin Snarecaster
Lightning Strike
Lightning Strike
Lightning Strike
Lightning Strike
Liliana's Reaver
Living Totem
Living Totem
Living Totem
Loyal Pegasus
Loyal Pegasus
Madcap Skills
Magma Spray
Mahamoti Djinn
March of the Returned
Market Festival
Market Festival
Master of Diversion
Maw of the Obzedat
Maze Abomination
Maze Behemoth
Maze Sentinal
Maze Sentinel
Meditation Puzzle
Meditation Puzzle
Mending Touch
Midnight Guard
Midnight Guard
Mind Rot
Mind Rot
Mind Rot
Minotaur Abomination
Minotaur Skullcleaver
Minotaur Skullcleaver
Mischief and Mayhem
Morgue Burst
Mortal's Ardor
Mortal's Resolve
Mortal's Resolve
Mountain
Mountain
Mountain
Mountain
Mountain
Mountain
Mountain
Mountain
Mountain
Mountain
Mountain
Mountain
Mountain
Mountain
Mountain
Mountain
Mountain
